Ticker,Date,Open,High,Low,Close,Volume,Sentiment,label_up_next,pct_change,SMA5,SMA10,SMA20,EMA12,EMA26,MACD,RSI_14,ATR_14
QQQ,2015-02-09,94.8216,95.3607,94.659,94.8883,24482889,0.4175282,1.0,-0.23124450385632683,-1.4573134023239183,-1.4659248475709359,-1.4714680769058255,-1.4667956138289648,-1.4795496634280492,-0.042873270570187944,-1.3674591020800526,-0.8856078883732937
QQQ,2015-02-10,95.4283,96.5017,95.2843,96.3616,25655624,0.5331323,1.0,0.8752407204880525,-1.4551583151195604,-1.4636770222657125,-1.4703810386283596,-1.464714433145048,-1.4782584264405998,-0.030474647246802464,-0.8018122990762773,-0.8836371396082751
QQQ,2015-02-11,96.4822,96.947,96.2842,96.7254,21940092,0.3636222,1.0,0.18590561573400552,-1.452259761304628,-1.4607471293989296,-1.46913191374008,-1.4624924271488189,-1.4768385153761192,-0.017867676399628576,-0.672742193448777,-0.9038289497296744
QQQ,2015-02-12,97.3361,97.8645,97.2107,97.8254,24390165,0.810536,1.0,0.6315497973406836,-1.4489163718189333,-1.457646575918911,-1.4672180353752755,-1.4592183494505082,-1.4748455163135838,0.0022232254053171246,-0.3010723883664113,-0.9115444259393308
QQQ,2015-02-13,98.1194,98.7169,97.9233,98.6973,31445921,0.6278219,1.0,0.48727005973437176,-1.4432001434019341,-1.453234859450296,-1.4644438416159526,-1.4553431053017414,-1.4724625280434638,0.025635933578893724,-0.03219574730060977,-0.9244447481894403
QQQ,2015-02-17,98.6973,98.855,98.4427,98.7859,19144600,0.7115453,1.0,0.017100843581608172,-1.4368188717406822,-1.4494074790082305,-1.462078707844858,-1.4519517787388696,-1.4702014261317509,0.04344247119098493,-0.005046667314316603,-0.9475248625947339
QQQ,2015-02-18,98.6675,98.9827,98.541,98.9333,16391482,0.80011207,1.0,0.051969761605873986,-1.432608404701673,-1.446214368015644,-1.459956869300142,-1.4488954096078228,-1.4680169255267483,0.057249962268392435,0.04257276306765564,-0.9682753110764281
QQQ,2015-02-19,98.865,99.4622,98.8354,99.3937,21471910,0.64086884,1.0,0.2374256032462241,-1.4282397811451975,-1.4425689817597818,-1.4578441228141663,-1.4457258327436067,-1.465710354380891,0.0709404679766422,0.1937383007486528,-0.9832555207744552
QQQ,2015-02-20,99.3347,100.109,99.0312,100.05,30696080,0.76381874,1.0,0.35177754282707396,-1.4245975969965878,-1.4390648545293114,-1.4561817225286064,-1.4422122204581065,-1.4631699618418794,0.08636954023032806,0.40187408353821613,-0.9867177586310312
QQQ,2015-02-24,100.031,100.364,99.7273,100.239,21375995,0.76100796,0.0,0.07525434558279273,-1.4220734779181416,-1.4349313033624425,-1.4545246948232118,-1.4389996633187256,-1.4607012079947659,0.09824693167586435,0.4612436489158841,-1.000151305252032
QQQ,2015-02-25,100.08,100.471,99.7663,99.981,21091793,0.6046214,1.0,-0.1865407426467788,-1.4201168231145798,-1.4307488043007281,-1.452930402323124,-1.4366082830527347,-1.4585744091499209,0.10267415923083524,0.32751525907708723,-1.0110500111287084
QQQ,2015-02-26,100.08,100.551,99.8151,100.491,24086097,0.6139672,0.0,0.26366602515770093,-1.4175665083396585,-1.4273574379085505,-1.4500926881352394,-1.433938536009417,-1.4562906819023713,0.10900069759056379,0.5024498750639514,-1.020447452528326
QQQ,2015-03-02,100.249,101.013,100.229,100.973,24904081,0.8259607,0.0,0.24580281871118642,-1.4149808293744968,-1.423868997000086,-1.4468628995779549,-1.4310687294157278,-1.453878915546127,0.11645930940890453,0.6618926558312563,-1.0280593538229728
QQQ,2015-03-03,100.666,100.766,99.8541,100.481,22521095,-0.9183885,0.0,-0.32138548919774523,-1.4142751828007079,-1.4216880233499027,-1.4442051668255858,-1.429263893382383,-1.4519491686995578,0.11484444514790941,0.38129780713342126,-1.0273691870099473
QQQ,2015-03-04,100.149,100.305,99.5506,100.09,22757800,0.7730842,1.0,-0.2638217829837267,-1.414519130224129,-1.4205442358809277,-1.441409565400684,-1.4282321991968763,-1.4504034590082187,0.10716317865959303,0.16446716201130995,-1.0310951468035399
QQQ,2015-03-05,100.364,100.571,99.8641,100.277,16662591,0.41848475,0.0,0.0740379102700775,-1.4140345098393459,-1.4193196351090538,-1.4388673431218546,-1.4271222610014231,-1.4488569410098309,0.10067693672242116,0.24027188328195231,-1.0397326126404456
QQQ,2015-03-06,100.139,100.344,98.9134,99.1496,33572509,0.16538686,1.0,-0.6950670144011927,-1.4162306915425489,-1.419141993671889,-1.4371711369087976,-1.4276117225563438,-1.4481201414999223,0.08187412416934806,-0.3599851677754705,-1.030987736627938
QQQ,2015-03-09,99.3447,99.668,98.953,99.4236,28423257,0.4956383,0.0,0.1265495327288922,-1.4187674172999236,-1.419117437597126,-1.4353243744685111,-1.4276786698378674,-1.4472689696886285,0.0678447114805752,-0.2342892124112865,-1.039445228388336
QQQ,2015-03-10,98.7366,98.7564,97.5801,97.5801,37086914,-0.0052392185,0.0,-1.1232292814713183,-1.423516860793901,-1.4211459007762899,-1.4345818012346783,-1.4300713986903688,-1.4476175607944644,0.03624559362798435,-1.0366596442743867,-1.0211555552353988
QQQ,2015-03-11,97.6782,97.8351,96.9959,97.0352,27581081,0.8474918,1.0,-0.363124646750334,-1.4285182741433449,-1.4237770965062406,-1.4338257965504335,-1.4327865120865921,-1.4482763189440386,0.004407704952881666,-1.2317972452086645,-1.027438103444105
QQQ,2015-03-12,96.9568,97.7566,96.898,97.3162,23268197,0.7326315,0.0,0.1343135424374495,-1.4333657877759995,-1.4259656258717355,-1.432822405213377,-1.4347278328416073,-1.448713013908813,-0.01888059270232685,-1.0858200563742189,-1.0328224739008112
QQQ,2015-03-13,97.5998,97.9429,96.6273,97.2486,45522426,0.759352,1.0,-0.07630605709384414,-1.4364781639634072,-1.4286285227550595,-1.4324558299359895,-1.4364561515100105,-1.4491590436637378,-0.03873957020346237,-1.1124330762178698,-1.0272352923959123
QQQ,2015-03-16,97.5901,98.541,97.4801,98.5018,27813238,0.48910624,1.0,0.720370822039327,-1.4379873635265596,-1.4306580535896478,-1.431721687520261,-1.4363305213503668,-1.4487993035435707,-0.0422937946890075,-0.4814503153276152,-1.0225846511583265
QQQ,2015-03-17,98.2175,98.8154,97.9819,98.6577,21237249,-0.05197836,1.0,0.05728417055804993,-1.4362230833689844,-1.4321554813861452,-1.4313777184071046,-1.4360266626007216,-1.4483700819649608,-0.04415871008648119,-0.4097196999011191,-1.0288971684352028
QQQ,2015-03-18,98.3835,100.05,97.8545,99.6093,44006861,0.18633395,1.0,0.5302476729824133,-1.4320086869755038,-1.4325502675111803,-1.4310008112447852,-1.4345636848877963,-1.447385892311718,-0.036611202048435675,0.004626009920971725,-1.0032064252185815
QQQ,2015-03-19,99.7074,100.031,99.5606,99.7563,33923181,0.591593,1.0,0.05101066873609829,-1.4280136795399998,-1.4329779045723532,-1.4305997687992646,-1.4331395024324136,-1.4463839645143641,-0.029933175249709565,0.06524088131675569,-1.019314749244951
QQQ,2015-03-23,100.354,100.628,100.169,100.209,18664428,0.24615176,0.0,0.23064558451657557,-1.4231668207997568,-1.4321078475287456,-1.430072553374954,-1.431360764032901,-1.4451771160565716,-0.02091296277047943,0.2521444761001197,-1.024975882048053
QQQ,2015-03-24,100.199,100.666,99.835,99.8541,24259594,0.7886088,0.0,-0.24330917915594166,-1.4209527932783306,-1.4317542893285633,-1.4298822813820462,-1.4303054065807266,-1.444278497248761,-0.01834879168652627,0.04667569686193815,-1.0311755126221953
